member,category,item,order
1,2,1,1024
1,2,2,2048
1,2,3,3072
1,2,4,4096
1,2,5,5120
1,2,6,6144
1,2,7,7168
1,2,8,8192
1,2,9,9216
1,2,10,10240
1,2,11,11264
1,2,12,12288
1,2,13,13312
1,2,14,14336
1,2,15,15360
1,2,16,16384
1,2,17,17408
1,2,18,18432
1,2,19,19456
1,2,20,20480
1,2,21,21504
1,2,22,22528
1,2,23,23552
1,2,24,24576
1,2,25,25600
1,2,26,26624
1,2,27,27648
1,2,28,28672
1,2,29,29696
1,2,30,30720
1,2,31,31744
1,2,32,32768
1,2,33,33792
1,2,34,34816
1,2,35,35840
1,2,36,36864
1,2,37,37888
1,2,38,38912
1,2,39,39936
1,2,40,40960
1,2,41,41984
1,2,42,43008
1,2,43,44032
1,2,44,45056
1,2,45,46080
1,2,46,47104
1,2,47,48128
1,2,48,49152
1,2,49,50176
1,2,50,51200
1,2,51,52224
1,2,52,53248
1,2,53,54272
1,2,54,55296
1,2,55,56320
1,2,56,57344
1,2,57,58368
1,2,58,59392
1,2,59,60416
1,2,60,61440
1,2,61,62464
1,2,62,63488
1,2,63,64512
1,2,64,65536
1,2,65,66560
1,2,66,67584
1,2,67,68608
1,2,68,69632
1,2,69,70656
1,2,70,71680
1,2,71,72704
1,2,72,73728
1,2,73,74752
1,2,74,75776
1,2,75,76800
1,2,76,77824
1,2,77,78848
1,2,78,79872
1,2,79,80896
1,2,80,81920
1,2,81,82944
1,2,82,83968
1,2,83,84992
1,2,84,86016
1,2,85,87040
1,2,86,88064
1,2,87,89088
1,2,88,90112
1,2,89,91136
1,2,90,92160
1,2,91,93184
1,2,92,94208
1,2,93,95232
1,2,94,96256
1,2,95,97280
1,2,96,98304
1,2,97,99328
1,2,98,100352
1,2,99,101376
1,2,100,102400
1,2,101,103424
1,2,102,104448
1,2,103,105472
1,2,104,106496
1,2,105,107520
1,2,106,108544
1,2,107,109568
1,2,108,110592
1,2,109,111616
1,2,110,112640
1,2,111,113664
1,2,112,114688
1,2,113,115712
1,2,114,116736
1,2,115,117760
1,2,116,118784
1,2,117,119808
1,2,118,120832
1,2,119,121856
1,2,120,122880
1,2,121,123904
1,2,122,124928
1,2,123,125952
1,2,124,126976
1,2,125,128000
1,2,126,129024
1,2,127,130048
1,2,128,131072
1,2,129,132096
1,2,130,133120
1,2,131,134144
1,2,132,135168
1,2,133,136192
1,2,134,137216
1,2,135,138240
1,2,136,139264
1,2,137,140288
1,2,138,141312
1,2,139,142336
1,2,140,143360
1,2,141,144384
1,2,142,145408
1,2,143,146432
